"rel_path_quarantine","abs_path_before_purge","size_bytes","sha256_pre_deletion","deleted_at_utc"
"bdre/source_selector.py","/app/backend/engines/bdre/source_selector.py","2399","9b2cc4a065fb9693e12f35b6a95ce7c96fad5ed982bc437ae206dab9c2928af7","2026-04-29T18:18:22+00:00"
"bdre/audit_logger.py","/app/backend/engines/bdre/audit_logger.py","3292","0cf0aeaee2481bfdd7ac9a7e3239804e12f796f5f32abbe06925d32314e1d5c8","2026-04-29T18:18:22+00:00"
"bdre/health_monitor.py","/app/backend/engines/bdre/health_monitor.py","2836","b0ef40b124744c089c0c58af4dc2b643e8fc6644dc95a225f03d4bd1e0cb70b2","2026-04-29T18:18:22+00:00"
"bdre/anomaly_detector.py","/app/backend/engines/bdre/anomaly_detector.py","5367","396741ae948b2e5ed7ef399cbf0d2c38fd991f6b95b6349c89ff925d29c1b50b","2026-04-29T18:18:22+00:00"
"bdre/source_registry.py","/app/backend/engines/bdre/source_registry.py","8120","8179d2621f63b0897c8669a9898c9f31663a4dbbefe1e3811a85eec4c0ebbf58","2026-04-29T18:18:22+00:00"
"bdre/quality_scorer.py","/app/backend/engines/bdre/quality_scorer.py","7294","20d8f43df07515160d360addd7d5ee51b678eb716b1d46aae69464984e668d25","2026-04-29T18:18:22+00:00"
"bdre/fallback_chain.py","/app/backend/engines/bdre/fallback_chain.py","22722","21ef92978293ee38be967b6b1fcb73a3016cace0148b19609e54efb4178a5794","2026-04-29T18:18:22+00:00"
"bdre/waterway_classifier.py","/app/backend/engines/bdre/waterway_classifier.py","4520","e6c7ded32715ca4d2a4c5fdc78dee02646043b34eff0ac3c30ff0bdf3a298f58","2026-04-29T18:18:22+00:00"
"hunt_orchestrator/access_engine.py","/app/backend/engines/hunt_orchestrator/access_engine.py","35599","1f6d82167783d9ca11c5a59d86c1da7459ef4d5117a6aeb17044e42814321614","2026-04-29T18:18:22+00:00"
"hunt_orchestrator/vent_odeurs.py","/app/backend/engines/hunt_orchestrator/vent_odeurs.py","11395","99c387b05625177ff5b3f7b28f6055a41d6ec011c8404a0a68aa59ba12a878c2","2026-04-29T18:18:22+00:00"
"hunt_orchestrator/choix_affuts.py","/app/backend/engines/hunt_orchestrator/choix_affuts.py","16874","846af306006ce60a6f8e8827810e2036eb024017d79f1f1248405688a16969bd","2026-04-29T18:18:22+00:00"
"v8_national/referentials.py","/app/backend/engines/v8_national/referentials.py","13401","0c610c3466b853a6a7a66643821ba6ca454ac0affc9af4302da45a83de6daa06","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5300_order_engine.py","/app/backend/engines/nutrition_intelligence/x5300_order_engine.py","2175","a3342f2e149abab3d57bf7ed0610cd2f29f91aa2e6b1e9c01fa9f48a66f2ebd1","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5500_energy_protein.py","/app/backend/engines/nutrition_intelligence/x5500_energy_protein.py","15685","a1aa53f156bdaf9b278f9f1fb9207a75e39313c669b49cb3f62783e2f99a0376","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x6011_market_availability_engine.py","/app/backend/engines/nutrition_intelligence/x6011_market_availability_engine.py","12560","544433ede26ba8a060a03ca74cd947e272cef2515712ccec49b79e5a96473e4b","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5800_recipe_engine.py","/app/backend/engines/nutrition_intelligence/x5800_recipe_engine.py","3496","1d1593ad02541aec6f9c026a2d09970d2253103169b9d6f72886fb721a7553ea","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5600_site_guide.py","/app/backend/engines/nutrition_intelligence/x5600_site_guide.py","9037","85e93f9bcd60568e6c85d3a3902edfe893f64fd03413122e439b2efa349983d9","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5100_mineral_score.py","/app/backend/engines/nutrition_intelligence/x5100_mineral_score.py","5904","612120c19bf068b0aa87209a9838a1f598ea832308f17709e7787c908ebe5230","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x6010_product_quality_analyzer.py","/app/backend/engines/nutrition_intelligence/x6010_product_quality_analyzer.py","7727","7ad548cf41c319d9ba496b39710db5522f39902f7edfae9b4c881bca4c8e78fc","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5900_evidence_engine.py","/app/backend/engines/nutrition_intelligence/x5900_evidence_engine.py","10974","7759654fb7669203e02e7001b5760fed8c31959a3b7b87e22ea4d4ddc1b1a409","2026-04-29T18:18:22+00:00"
"nutrition_intelligence/x5700_cost_engine.py","/app/backend/engines/nutrition_intelligence/x5700_cost_engine.py","3287","62e1dc0008af9719037b907f981f129f3a5f2cb0fcf362dcd379cf54b6e6d6bb","2026-04-29T18:18:22+00:00"
