"espece_id","section","subsection","champ","valeur","ordre","doctrine","activation_status"
"DINDON_SAUVAGE","classification","","famille","Phasianidae","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","classification","","genre","Meleagris","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","classification","","espece","gallopavo","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","classification","","nom_scientifique","Meleagris gallopavo","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","comportements_saisonniers","printemps","deplacements","nidification, déplacements réduits des femelles, sélection de couvert dense","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","comportements_saisonniers","printemps","alimentation","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","comportements_saisonniers","printemps","reproduction","nidification, déplacements réduits des femelles, sélection de couvert dense","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","comportements_saisonniers","printemps","habitat","nidification, déplacements réduits des femelles, sélection de couvert dense","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","comportements_saisonniers","ete","thermoregulation","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"DINDON_SAUVAGE","comportements_saisonniers","ete","habitat","dispersion des jeunes, utilisation de zones ouvertes pour alimentation","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
